artist_name,label,source_url
Fatboy Slim,Astralwerks,https://www.astralwerks.com/artists/
Feid,Universal Musica (UMLE),https://www.universalmusica.com/artists/
Florence + The Machine,Republic Records,https://www.republicrecords.com/pages/artists
Freddie Hubbard,Blue Note Records,https://www.bluenote.com/artists/
Gaby Music,Universal Musica (UMLE),https://www.universalmusica.com/artists/
George Braith,Blue Note Records,https://www.bluenote.com/artists/
Giggs,Island Records (UK),https://www.islandrecords.co.uk/artists/
Glass Animals,Republic Records,https://www.republicrecords.com/pages/artists
GloRilla,Interscope Records,https://interscope.com/?srsltid=AfmBOor_pBYyyjsYkgZgEZ8cDzo1zmHwSxbTZuygAYq0kGv6QYckfK39
Gorgon City,EMI Records (UK),https://shop.emi.com/pages/artists
Grace Jones,Island Records (UK),https://www.islandrecords.co.uk/artists/
Gracie Abrams,Interscope Records,https://interscope.com/?srsltid=AfmBOor_pBYyyjsYkgZgEZ8cDzo1zmHwSxbTZuygAYq0kGv6QYckfK39
Grant Green,Blue Note Records,https://www.bluenote.com/artists/
Greeicy,Universal Musica (UMLE),https://www.universalmusica.com/artists/
Halsey,EMI Records (UK),https://shop.emi.com/pages/artists
Hardy,EMI Records (UK),https://shop.emi.com/pages/artists
Herbie Hancock,Blue Note Records,https://www.bluenote.com/artists/
HillKidd,Universal Musica (UMLE),https://www.universalmusica.com/artists/
Holly Humberstone,Geffen Records,https://interscope.com/?srsltid=AfmBOor_pBYyyjsYkgZgEZ8cDzo1zmHwSxbTZuygAYq0kGv6QYckfK39
Hozier,Island Records (UK),https://www.islandrecords.co.uk/artists/
Hugel,Astralwerks,https://www.astralwerks.com/artists/
Ice Spice,Capitol Records,https://www.capitolrecords.com/
Ildar Abdrazakov,Deutsche Grammophon,https://www.deutschegrammophon.com/en/artists/a-z
Irreversible Entanglements,Impulse! Records,https://www.impulserecords.com/artists/
Isobel Waller-Bridge,Mercury KX,https://www.mercurykx.com/
Ivan Cornejo,Interscope Records,https://interscope.com/?srsltid=AfmBOor_pBYyyjsYkgZgEZ8cDzo1zmHwSxbTZuygAYq0kGv6QYckfK39
JAZZY,Astralwerks,https://www.astralwerks.com/artists/
JD Pantoja,Universal Musica (UMLE),https://www.universalmusica.com/artists/
JID,Interscope Records,https://interscope.com/?srsltid=AfmBOor_pBYyyjsYkgZgEZ8cDzo1zmHwSxbTZuygAYq0kGv6QYckfK39
